business_id,name,latitude,longitude,stars,review_count,price_level,full_address
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,39.9555052,-75.1555641,4.0,80,1,"935 Race St, Philadelphia, PA, 19107"
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,39.953949,-75.1432262,4.0,245,3,"205 Race St, Philadelphia, PA, 19106"
ROeacJQwBeh05Rqg7F6TCg,BAP,39.943223,-75.162568,4.5,205,1,"1224 South St, Philadelphia, PA, 19147"
QdN72BWoyFypdGJhhI5r7g,Bar One,39.9398245705,-75.1574465632,4.0,65,1,"767 S 9th St, Philadelphia, PA, 19147"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,39.9625821,-75.1356571,3.5,65,2,"901 N Delaware Ave, Philadelphia, PA, 19123"
ppFCk9aQkM338Rgwpl2F5A,Wawa,39.954573,-75.1948936,3.0,56,2,"3604 Chestnut St, Philadelphia, PA, 19104"
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,40.012141,-75.1150148,1.5,15,2,"700 E. Hunting Park, Philadelphia, PA, 19124"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,39.9385518,-75.1496356,4.5,183,1,"765 S 4th St, Philadelphia, PA, 19147"
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,39.9516153765,-75.2033457223,4.0,46,2,"4002 Spruce St, Philadelphia, PA, 19104"
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,39.9768798,-75.1161695,4.5,12,2,"2609 Edgemont St, Philadelphia, PA, 19125"
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,39.9412993,-75.1477446,3.0,178,2,"300 South St, Philadelphia, PA, 19147"
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,40.0839955,-75.0354963,2.5,6,2,"1900 Grant Ave, Ste M-N, Philadelphia, PA, 19115"
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,39.9368911,-75.1672837,2.5,16,1,"1128 S Broad St, Philadelphia, PA, 19146"
dChRGpit9fM_kZK5pafNyA,The Love,39.9506555,-75.1708991,4.0,618,2,"130 S 18th St, Philadelphia, PA, 19103"
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,39.9418766,-75.1451988,4.0,604,2,"509 S 2nd St, Philadelphia, PA, 19147"
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,39.9535919923,-75.1794226902,3.5,163,1,"2400 Market St, Ste 427, Philadelphia, PA, 19103"
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,40.0027825,-75.2222705,3.0,52,2,"4514 B City Line Ave, Ste 220, Philadelphia, PA, 19131"
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,39.947207,-75.1572515,4.0,217,2,"930 Locust St, Philadelphia, PA, 19107"
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,40.08178,-75.0267907,4.0,80,2,"9711 Roosevelt Blvd, Philadelphia, PA, 19114"
CPgWuWGZ4v2sZr5_-1kluw,Checkers,39.9719414,-75.159771,2.0,21,2,"1208 N. Broad, Philadelphia, PA, 19121"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,39.948365,-75.1744997,4.0,28,1,"272 S 20th St, Philadelphia, PA, 19103"
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,40.0884161,-74.9650112,1.5,20,1,"501 Franklin Mill Cir, Philadelphia, PA, 19154"
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,39.9403745,-75.1456109,3.5,44,2,"629 S 2nd St, Philadelphia, PA, 19147"
PdMXmOWDRHICAx6SLgu1dQ,24,39.9515211,-75.1798731,3.5,111,2,"2401 Walnut St, Philadelphia, PA, 19103"
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,39.94796,-75.22198,4.0,301,1,"4914 Baltimore Ave, Philadelphia, PA, 19143"
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,39.988107,-75.105553,3.5,6,2,"2401 E Allegheny Ave, Philadelphia, PA, 19134"
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,39.949603,-75.1649701595,3.5,149,2,"1411 Walnut St, Philadelphia, PA, 19102"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,39.9686973,-75.1606146,4.5,138,2,"820 N Broad St, Philadelphia, PA, 19130"
RrqRin8BYGrTlJbCDwtLzA,Wawa,39.9510885597,-75.1989988336,3.5,50,1,"3744 Spruce St, Philadelphia, PA, 19104"
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,39.955454,-75.1549,4.0,92,2,"915 Race St, Philadelphia, PA, 19107"
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,40.0352350987,-75.2167929785,3.0,54,1,"6151 Ridge Ave, Philadelphia, PA, 19128"
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,39.9822933,-75.1031599,4.5,29,1,"3124 Richmond St, Philadelphia, PA, 19134"
4TQMOy00KD_54xSFwKgMZw,Ndulge,40.025842293,-75.2243893677,3.5,15,2,"4373 Main St, Philadelphia, PA, 19127"
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,40.0603863,-75.0845897,4.5,116,2,"7235 Rising Sun Ave, Philadelphia, PA, 19111"
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,39.931855,-75.168473,3.5,47,1,"1444 S Broad St, Philadelphia, PA, 19146"
N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,39.9551144,-75.202451,3.5,148,3,"106 S 40th St, Philadelphia, PA, 19104"
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,39.9813471541,-75.1322471288,4.5,10,3,"2041 Coral St, Ste 2, Philadelphia, PA, 19125"
dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,40.0390528,-75.1438169,3.5,13,3,"1337 W Olney Ave, Philadelphia, PA, 19141"
68ThEdiK0eWCEgGEmV9Tng,Southgate,39.9455687,-75.1717901,4.0,323,2,"1801 Lombard St, Philadelphia, PA, 19146"
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,39.940221217,-75.1557966694,4.5,49,2,"743 S 8th St, Philadelphia, PA, 19147"
aurl4I40YVQfQ8loOdgKCg,Crown Fried Chicken,39.971145,-75.15902,3.5,11,2,"933 N Broad St, Philadelphia, PA, 19123"
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,39.9512903,-75.1992768,4.0,81,2,"38th and Spruce, Philadelphia, PA, 19104"
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,39.929738,-75.1633963,4.0,219,1,"1601 E Passyunk Ave, Philadelphia, PA, 19148"
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,40.0626011,-75.2372078,3.0,30,3,"8500 Henry Ave, Philadelphia, PA, 19128"
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,39.9394402,-75.1668049,2.0,55,1,"914 S Broad St, Philadelphia, PA, 19146"
_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,40.02202,-75.1240606,3.5,10,1,"4715 N Front St, Philadelphia, PA, 19120"
V5KiEoH4E86GA2S3RQkf1g,Spice Grill,39.9862724,-75.094699,3.5,12,2,"3447-61 Richmond St, Philadelphia, PA, 19134"
